SBrightlanelat,SBrightlanelon,SBmiddlelanelat,SBmiddlelanelon,SBleftlanelat,SBleftlanelon,NBleftlanelat,NBleftlanelon,NBmiddlelanelat,NBmiddlelanelon,NBrightlanelat,NBrightlanelon
46.4020365,11.3004106639,46.4019407547,11.3004752017,46.4020365,11.3004106639,46.4020365,11.3004106639,46.401937,11.3003649496,46.4020365,11.3004106639
46.4020626852,11.300197,46.4020458519,11.3004739748,46.4020626852,11.300197,46.4020626852,11.300197,46.4020365,11.3003610336,46.4020626852,11.300197
46.4021375,11.3002454034,46.4020458519,11.3005358235,46.4021375,11.3002454034,46.4021375,11.3002454034,46.4020365,11.3004282605,46.4021375,11.3002454034
46.4021580741,11.300263,46.4021431111,11.3005372857,46.4021580741,11.300263,46.4021580741,11.300263,46.4021375,11.3004297227,46.4021580741,11.300263
46.4022385,11.3003114034,46.4021431111,11.3005964454,46.4022385,11.3003114034,46.4022385,11.3003114034,46.4021375,11.3004942605,46.4022385,11.3003114034
46.4022385,11.3004150504,46.4022496818,11.3006059748,46.4022385,11.3004150504,46.4022385,11.3004150504,46.4022385,11.3004930336,46.4022385,11.3004150504
46.402341,11.3004768992,46.4022496818,11.3006678235,46.402341,11.3004768992,46.402341,11.3004768992,46.4022385,11.3005602605,46.402341,11.3004768992
46.402341,11.3006057479,46.4023503519,11.3006783529,46.402341,11.3006057479,46.402341,11.3006057479,46.402341,11.3005681008,46.402341,11.3006057479
46.402442,11.3006756639,46.4023503519,11.3007402017,46.402442,11.3006756639,46.402442,11.3006756639,46.402341,11.3006326387,46.402442,11.3006756639
46.402542,11.3006110504,46.4025493818,11.3008073529,46.402542,11.3006110504,46.402542,11.3006110504,46.402542,11.3006917227,46.402542,11.3006110504
46.4026435,11.3006809664,46.4025493818,11.3008692017,46.4026435,11.3006809664,46.4026435,11.3006809664,46.402542,11.3007589496,46.4026435,11.3006809664
46.4026435,11.3006841176,46.4026491111,11.3008804202,46.4026435,11.3006841176,46.4026435,11.3006841176,46.4026435,11.300767479,46.4026435,11.3006841176
46.4027445,11.3007432773,46.4026491111,11.300944958,46.4027445,11.3007432773,46.4027445,11.3007432773,46.4026435,11.3008293277,46.4027445,11.3007432773
46.4027445,11.300867437,46.4027649,11.3009427311,46.4027445,11.300867437,46.4027445,11.300867437,46.4027445,11.3008271008,46.4027445,11.300867437
46.4028465,11.3009346639,46.4027649,11.3010018908,46.4028465,11.3009346639,46.4028465,11.3009346639,46.4027445,11.3008943277,46.4028465,11.3009346639
46.4028465,11.3008456975,46.4028521111,11.3010366218,46.4028465,11.3008456975,46.4028465,11.3008456975,46.4028465,11.3009156134,46.4028465,11.3008456975
46.4029475,11.3009102353,46.4028521111,11.3010984706,46.4029475,11.3009102353,46.4029475,11.3009102353,46.4028465,11.3009828403,46.4029475,11.3009102353
46.4029660185,11.300787,46.4029530556,11.3010666639,46.4029660185,11.300787,46.4029660185,11.300787,46.4029475,11.3009537227,46.4029660185,11.300787
46.4030475,11.3008380924,46.4029530556,11.3011312017,46.4030475,11.3008380924,46.4030475,11.3008380924,46.4029475,11.3010209496,46.4030475,11.3008380924
46.4034535,11.301330437,46.4034590556,11.3014057311,46.4034535,11.301330437,46.4034535,11.301330437,46.4034535,11.3012927899,46.4034535,11.301330437
46.4035535,11.3014003529,46.4034590556,11.3014675798,46.4035535,11.3014003529,46.4035535,11.3014003529,46.4034535,11.3013573277,46.4035535,11.3014003529
46.4037555,11.3015361933,46.4037611111,11.3015953529,46.4037555,11.3015361933,46.4037555,11.3015361933,46.4037555,11.3014824118,46.4037555,11.3015361933
46.4038565,11.3016087983,46.4037611111,11.3016598908,46.4038565,11.3016087983,46.4038565,11.3016087983,46.4037555,11.3015496387,46.4038565,11.3016087983
46.4041595,11.3017985042,46.4041669182,11.3018522857,46.4041595,11.3017985042,46.4041595,11.3017985042,46.4041595,11.3017420336,46.4041595,11.3017985042
46.4042615,11.3018684202,46.4041669182,11.3019141345,46.4042615,11.3018684202,46.4042615,11.3018684202,46.4041595,11.3018092605,46.4042615,11.3018684202
